method,image_name,full_path,method_path,lpips_vs_full,ms_ssim_vs_full
tome,class_0540_seed0_a_photo_of_a_drilling_platform.png,generated/tome/class_0540_seed0_a_photo_of_a_drilling_platform.png,generated/tome/class_0540_seed0_a_photo_of_a_drilling_platform.png,0.13249914348125458,0.892686128616333
tome,class_0540_seed1_a_photo_of_a_drilling_platform.png,generated/tome/class_0540_seed1_a_photo_of_a_drilling_platform.png,generated/tome/class_0540_seed1_a_photo_of_a_drilling_platform.png,0.3161557614803314,0.7043524980545044
tome,class_0541_seed0_a_photo_of_a_drum.png,generated/tome/class_0541_seed0_a_photo_of_a_drum.png,generated/tome/class_0541_seed0_a_photo_of_a_drum.png,0.42022520303726196,0.6212743520736694
tome,class_0541_seed1_a_photo_of_a_drum.png,generated/tome/class_0541_seed1_a_photo_of_a_drum.png,generated/tome/class_0541_seed1_a_photo_of_a_drum.png,0.16626393795013428,0.8596588373184204
tome,class_0542_seed0_a_photo_of_a_drumstick.png,generated/tome/class_0542_seed0_a_photo_of_a_drumstick.png,generated/tome/class_0542_seed0_a_photo_of_a_drumstick.png,0.5373136401176453,0.5989741086959839
tome,class_0542_seed1_a_photo_of_a_drumstick.png,generated/tome/class_0542_seed1_a_photo_of_a_drumstick.png,generated/tome/class_0542_seed1_a_photo_of_a_drumstick.png,0.5033052563667297,0.6008682250976562
tome,class_0543_seed0_a_photo_of_a_dumbbell.png,generated/tome/class_0543_seed0_a_photo_of_a_dumbbell.png,generated/tome/class_0543_seed0_a_photo_of_a_dumbbell.png,0.2008916437625885,0.7877054214477539
tome,class_0543_seed1_a_photo_of_a_dumbbell.png,generated/tome/class_0543_seed1_a_photo_of_a_dumbbell.png,generated/tome/class_0543_seed1_a_photo_of_a_dumbbell.png,0.3361956477165222,0.6521585583686829
tome,class_0544_seed0_a_photo_of_a_Dutch_oven.png,generated/tome/class_0544_seed0_a_photo_of_a_Dutch_oven.png,generated/tome/class_0544_seed0_a_photo_of_a_Dutch_oven.png,0.2741938531398773,0.783214271068573
tome,class_0544_seed1_a_photo_of_a_Dutch_oven.png,generated/tome/class_0544_seed1_a_photo_of_a_Dutch_oven.png,generated/tome/class_0544_seed1_a_photo_of_a_Dutch_oven.png,0.19375509023666382,0.7878982424736023
tome,class_0545_seed0_a_photo_of_a_electric_fan.png,generated/tome/class_0545_seed0_a_photo_of_a_electric_fan.png,generated/tome/class_0545_seed0_a_photo_of_a_electric_fan.png,0.47887569665908813,0.47578513622283936
tome,class_0545_seed1_a_photo_of_a_electric_fan.png,generated/tome/class_0545_seed1_a_photo_of_a_electric_fan.png,generated/tome/class_0545_seed1_a_photo_of_a_electric_fan.png,0.2452128827571869,0.7304887175559998
tome,class_0546_seed0_a_photo_of_a_electric_guitar.png,generated/tome/class_0546_seed0_a_photo_of_a_electric_guitar.png,generated/tome/class_0546_seed0_a_photo_of_a_electric_guitar.png,0.37330883741378784,0.5809947848320007
tome,class_0546_seed1_a_photo_of_a_electric_guitar.png,generated/tome/class_0546_seed1_a_photo_of_a_electric_guitar.png,generated/tome/class_0546_seed1_a_photo_of_a_electric_guitar.png,0.5842275619506836,0.44770559668540955
tome,class_0547_seed0_a_photo_of_a_electric_locomotive.png,generated/tome/class_0547_seed0_a_photo_of_a_electric_locomotive.png,generated/tome/class_0547_seed0_a_photo_of_a_electric_locomotive.png,0.48495712876319885,0.5038353204727173
tome,class_0547_seed1_a_photo_of_a_electric_locomotive.png,generated/tome/class_0547_seed1_a_photo_of_a_electric_locomotive.png,generated/tome/class_0547_seed1_a_photo_of_a_electric_locomotive.png,0.35127246379852295,0.6325286626815796
tome,class_0548_seed0_a_photo_of_a_entertainment_center.png,generated/tome/class_0548_seed0_a_photo_of_a_entertainment_center.png,generated/tome/class_0548_seed0_a_photo_of_a_entertainment_center.png,0.4861092269420624,0.4661282002925873
tome,class_0548_seed1_a_photo_of_a_entertainment_center.png,generated/tome/class_0548_seed1_a_photo_of_a_entertainment_center.png,generated/tome/class_0548_seed1_a_photo_of_a_entertainment_center.png,0.21821328997612,0.7156485319137573
tome,class_0549_seed0_a_photo_of_a_envelope.png,generated/tome/class_0549_seed0_a_photo_of_a_envelope.png,generated/tome/class_0549_seed0_a_photo_of_a_envelope.png,0.22126279771327972,0.7882335186004639
tome,class_0549_seed1_a_photo_of_a_envelope.png,generated/tome/class_0549_seed1_a_photo_of_a_envelope.png,generated/tome/class_0549_seed1_a_photo_of_a_envelope.png,0.7607157230377197,0.3937382102012634
tome,class_0550_seed0_a_photo_of_a_espresso_maker.png,generated/tome/class_0550_seed0_a_photo_of_a_espresso_maker.png,generated/tome/class_0550_seed0_a_photo_of_a_espresso_maker.png,0.3503009080886841,0.6730474233627319
tome,class_0550_seed1_a_photo_of_a_espresso_maker.png,generated/tome/class_0550_seed1_a_photo_of_a_espresso_maker.png,generated/tome/class_0550_seed1_a_photo_of_a_espresso_maker.png,0.4782660901546478,0.5595738291740417
tome,class_0551_seed0_a_photo_of_a_face_powder.png,generated/tome/class_0551_seed0_a_photo_of_a_face_powder.png,generated/tome/class_0551_seed0_a_photo_of_a_face_powder.png,0.11670933663845062,0.9123983383178711
tome,class_0551_seed1_a_photo_of_a_face_powder.png,generated/tome/class_0551_seed1_a_photo_of_a_face_powder.png,generated/tome/class_0551_seed1_a_photo_of_a_face_powder.png,0.3662485182285309,0.6407828330993652
tome,class_0552_seed0_a_photo_of_a_feather_boa.png,generated/tome/class_0552_seed0_a_photo_of_a_feather_boa.png,generated/tome/class_0552_seed0_a_photo_of_a_feather_boa.png,0.33249348402023315,0.7509328126907349
tome,class_0552_seed1_a_photo_of_a_feather_boa.png,generated/tome/class_0552_seed1_a_photo_of_a_feather_boa.png,generated/tome/class_0552_seed1_a_photo_of_a_feather_boa.png,0.38062649965286255,0.6133869886398315
tome,class_0553_seed0_a_photo_of_a_file.png,generated/tome/class_0553_seed0_a_photo_of_a_file.png,generated/tome/class_0553_seed0_a_photo_of_a_file.png,0.45816701650619507,0.6521532535552979
tome,class_0553_seed1_a_photo_of_a_file.png,generated/tome/class_0553_seed1_a_photo_of_a_file.png,generated/tome/class_0553_seed1_a_photo_of_a_file.png,0.27892598509788513,0.6356949806213379
tome,class_0554_seed0_a_photo_of_a_fireboat.png,generated/tome/class_0554_seed0_a_photo_of_a_fireboat.png,generated/tome/class_0554_seed0_a_photo_of_a_fireboat.png,0.3523886799812317,0.6435019969940186
tome,class_0554_seed1_a_photo_of_a_fireboat.png,generated/tome/class_0554_seed1_a_photo_of_a_fireboat.png,generated/tome/class_0554_seed1_a_photo_of_a_fireboat.png,0.3488675653934479,0.6525139808654785
tome,class_0555_seed0_a_photo_of_a_fire_engine.png,generated/tome/class_0555_seed0_a_photo_of_a_fire_engine.png,generated/tome/class_0555_seed0_a_photo_of_a_fire_engine.png,0.31045499444007874,0.7284001111984253
tome,class_0555_seed1_a_photo_of_a_fire_engine.png,generated/tome/class_0555_seed1_a_photo_of_a_fire_engine.png,generated/tome/class_0555_seed1_a_photo_of_a_fire_engine.png,0.2636283040046692,0.748784065246582
tome,class_0556_seed0_a_photo_of_a_fire_screen.png,generated/tome/class_0556_seed0_a_photo_of_a_fire_screen.png,generated/tome/class_0556_seed0_a_photo_of_a_fire_screen.png,0.5174648761749268,0.4438794255256653
tome,class_0556_seed1_a_photo_of_a_fire_screen.png,generated/tome/class_0556_seed1_a_photo_of_a_fire_screen.png,generated/tome/class_0556_seed1_a_photo_of_a_fire_screen.png,0.5354315042495728,0.4500831961631775
tome,class_0557_seed0_a_photo_of_a_flagpole.png,generated/tome/class_0557_seed0_a_photo_of_a_flagpole.png,generated/tome/class_0557_seed0_a_photo_of_a_flagpole.png,0.6442629098892212,0.48368892073631287
tome,class_0557_seed1_a_photo_of_a_flagpole.png,generated/tome/class_0557_seed1_a_photo_of_a_flagpole.png,generated/tome/class_0557_seed1_a_photo_of_a_flagpole.png,0.4676216244697571,0.5827739238739014
tome,class_0558_seed0_a_photo_of_a_flute.png,generated/tome/class_0558_seed0_a_photo_of_a_flute.png,generated/tome/class_0558_seed0_a_photo_of_a_flute.png,0.5916803479194641,0.39192742109298706
tome,class_0558_seed1_a_photo_of_a_flute.png,generated/tome/class_0558_seed1_a_photo_of_a_flute.png,generated/tome/class_0558_seed1_a_photo_of_a_flute.png,0.1775922179222107,0.879297137260437
tome,class_0559_seed0_a_photo_of_a_folding_chair.png,generated/tome/class_0559_seed0_a_photo_of_a_folding_chair.png,generated/tome/class_0559_seed0_a_photo_of_a_folding_chair.png,0.40516629815101624,0.666590690612793
tome,class_0559_seed1_a_photo_of_a_folding_chair.png,generated/tome/class_0559_seed1_a_photo_of_a_folding_chair.png,generated/tome/class_0559_seed1_a_photo_of_a_folding_chair.png,0.3444504141807556,0.5950433611869812
tome,class_0560_seed0_a_photo_of_a_football_helmet.png,generated/tome/class_0560_seed0_a_photo_of_a_football_helmet.png,generated/tome/class_0560_seed0_a_photo_of_a_football_helmet.png,0.397644966840744,0.5702337026596069
tome,class_0560_seed1_a_photo_of_a_football_helmet.png,generated/tome/class_0560_seed1_a_photo_of_a_football_helmet.png,generated/tome/class_0560_seed1_a_photo_of_a_football_helmet.png,0.5193614959716797,0.5221836566925049
